Position_ph_texte	Position_ph_parag	Nb_mot_titre	Pos_ph_texte	Pos_ph_parag	Nb_exp_bonus	Nb_exp_stigma	Mot_anapho	tf-idf	tf	label
3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.276703931081728	0.10495626822157438	1.0
2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.2776945960193105	0.10495626822157438	1.0
1.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.17216598386959445	0.06997084548104958	0.0
1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.38299907801474986	0.15743440233236142	1.0
2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12824209054689611	0.04956268221574345	0.0
1.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.09252877110977323	0.04373177842565598	0.0
2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0989707678976017	0.03498542274052478	0.0
1.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.3793368884970397	0.14868804664723032	1.0
3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.10515481583364007	0.046647230320699715	0.0
1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.11271470240019561	0.05247813411078718	0.0
3.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.292848187849935	0.11370262390670557	1.0
2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06360880345590011	0.026239067055393587	0.0
1.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	0.14541083095019897	0.055393586005830914	0.0
2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16609778339784195	0.06705539358600585	0.0
3.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.1928753776378921	0.07288629737609331	1.0
3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09038639769595028	0.032069970845481056	0.0
1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15501968478694628	0.05539358600583092	0.0
2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14591185210741955	0.05830903790087465	0.0
3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18531549107133655	0.06705539358600585	1.0
3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.08931607110017667	0.03457106274007683	0.0
2.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.14386425613379678	0.09603072983354674	0.0
1.0	1.0	5.0	1.0	1.0	1.0	0.0	1.0	0.40853949178267907	0.22791293213828429	1.0
2.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	0.1312195952702976	0.0678617157490397	0.0
3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08160817862689922	0.028169014084507046	0.0
1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.09209305586690462	0.03072983354673496	0.0
1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1791975764573624	0.07810499359795135	0.0
3.0	3.0	3.0	0.0	0.0	0.0	1.0	1.0	0.25627811630676933	0.10499359795134446	1.0
2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07139311064594077	0.02816901408450705	0.0
3.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.21513815877143713	0.09346991037131885	1.0
1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.15847824217019477	0.08066581306017927	0.0
1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07991578958722918	0.02688860435339309	0.0
2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.15287484950722743	0.06402048655569784	0.0
1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.4173718607641993	0.2343149807938541	1.0
2.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	0.26577529720821286	0.13188220230473754	1.0
1.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	0.10730681043522272	0.06530089628681178	0.0
3.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.10647196283287494	0.04481434058898848	0.0
1.0	1.0	7.0	0.0	0.0	0.0	0.0	2.0	0.49870041154751155	0.21254801536491683	1.0
3.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	0.19017724438801467	0.07810499359795137	0.0
2.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	0.2010796541950771	0.09218950064020488	1.0
1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.17794606695182072	0.08066581306017928	0.0
2.0	3.0	1.0	0.0	0.0	1.0	1.0	1.0	0.18929218302470263	0.09859154929577466	0.0
3.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.20049129411817926	0.12419974391805379	1.0
3.0	2.0	3.0	0.0	0.0	0.0	0.0	2.0	0.23587235112425445	0.08706786171574907	1.0
2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.14334421449731033	0.05505761843790013	0.0
2.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.13859656656795455	0.0653008962868118	0.0
3.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.11093389558769272	0.03969270166453266	0.0
2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.09404925807355453	0.033290653008962875	0.0
1.0	3.0	2.0	0.0	1.0	0.0	0.0	1.0	0.22069005664272098	0.1152368758002561	1.0
3.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.08665111755009221	0.04737516005121639	0.0
1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.12683224897056147	0.040665434380776334	0.0
1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05712732872526122	0.016635859519408498	0.0
1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05712732872526122	0.016635859519408498	0.0
1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16296172317368832	0.05545286506469501	1.0
2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.3076028690176872	0.10905730129390015	1.0
1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.17254142110327883	0.06284658040665436	1.0
1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.2899323802627697	0.08872458410351201	1.0
3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09669012363771416	0.03142329020332717	0.0
3.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.3410228125347815	0.13123844731977816	1.0
2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06725982419263718	0.020332717190388167	0.0
3.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	0.2361579469561152	0.0831792975970425	1.0
3.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.12990543758069367	0.04436229205175602	0.0
1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0845269215369406	0.0277264325323475	0.0
1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060912343223163724	0.01848428835489833	0.0
1.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.3499958730746622	0.12199630314232897	1.0
3.0	3.0	2.0	0.0	0.0	0.0	0.0	1.0	0.1484371583505528	0.04621072088724585	0.0
3.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.18031255384829287	0.060998151571164526	1.0
2.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.060912343223163724	0.01848428835489833	0.0
3.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.016479976436849442	0.005545286506469501	0.0
3.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.12218834437042711	0.04805914972273568	0.0
2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.039307433843172354	0.012939001848428834	0.0
2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22852993513250958	0.07578558225508317	1.0
2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07727494924110528	0.0277264325323475	0.0
1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025389923877893874	0.0073937153419593345	0.0
2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0063474809694734685	0.0018484288354898336	0.0
3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.23845267075473497	0.08502772643253233	1.0
3.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0968175337475827	0.033271719038816996	0.0
2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.06591990574739777	0.022181146025877996	0.0
2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06597859095685171	0.020332717190388164	0.0
2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07471248276953432	0.02772643253234751	0.0
1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27249525655983	0.08872458410351201	1.0
1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.26207259098118607	0.0997920997920998	1.0
2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.21458927054815666	0.07068607068607069	1.0
1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.05590424755051805	0.02079002079002079	0.0
1.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	0.22409699669564478	0.09147609147609148	1.0
2.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.39275366174786946	0.1496881496881497	1.0
2.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.20744939569558235	0.07484407484407485	1.0
2.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.14331343076738695	0.060291060291060294	0.0
2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0476111414246048	0.018711018711018712	0.0
2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04905219585404335	0.016632016632016633	0.0
2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09016450603289153	0.029106029106029108	0.0
2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031378149623496374	0.010395010395010396	0.0
1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.02452609792702168	0.008316008316008316	0.0
3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10783855226343853	0.037422037422037424	0.0
3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.14304273314648272	0.05197505197505198	0.0
3.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.1613148710037486	0.060291060291060294	0.0
2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013704103392949394	0.004158004158004158	0.0
1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1358448506760562	0.04573804573804574	0.0
3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17527123524946508	0.05405405405405406	0.0
1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.18826889774097832	0.062370062370062374	1.0
1.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.042200144157568655	0.014553014553014554	0.0
3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24005929087584904	0.08316008316008316	1.0
3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28765330676525835	0.11850311850311851	1.0
